model	Precision@10	Recall@10	F1@10	NDCG@10	Gini@10	EPC@10	APLT@10
BPR	0.6888350071622468	0.6203254721567931	0.5790805474335827	0.8886021791599102	0.7208141081110743	0.5770331434722412	0.0800796412004165
CFKG	0.691992726956164	0.6220158442433413	0.5810861974584446	0.8871254378802015	0.7231078791132163	0.5785027610694865	0.0801293429896809
CKE	0.6895164098546183	0.6205689002666834	0.579483803282477	0.8870878193092872	0.71807791812627	0.5774079839185613	0.0812393496165861
DMF	0.6870899514866609	0.6188489357609865	0.5773938816157151	0.8867814399171349	0.7730358159604619	0.5612490160292044	0.0571339818233456
EASE	0.6992222433264481	0.6248303208439774	0.5846277708728764	0.8976824519494715	0.760030075249337	0.5755745807699771	0.0611101249644987
ItemKNN	0.6913611829973804	0.6205384721217029	0.5797589360801262	0.8906549833407638	0.7657879371240076	0.568016515096803	0.0626177459055192
KGCN	0.6914276613088315	0.6211045280041559	0.5801479048416295	0.8929422549017686	0.7356980392045556	0.5738938705209916	0.0734858704913376
KGNNLS	0.6931247048705914	0.6220792696177659	0.581461069571913	0.8949682672688639	0.7461957221795291	0.5739491163163868	0.0712989917637035
KTUP	0.6920924444233402	0.6216165604704518	0.5807677104318255	0.8934699151476662	0.7383063126200012	0.574428839713471	0.0699404761904761
LightGCN	0.6945853811027486	0.6221265696553651	0.5817464854478134	0.897048240681915	0.7524264981137503	0.5721668132170257	0.0672400123071097
MKR	0.6921441497766909	0.6222031517644586	0.581432940117169	0.8905247571272853	0.7417960318217396	0.5719003011103824	0.0724752674429612
MultiVAE	0.6980754924539204	0.6259728151334636	0.5850313653859884	0.8957929358679473	0.8156112155434201	0.5481728838520836	0.0522797737385212
NGCF	0.6859764397698583	0.6191217050180673	0.5775944924711994	0.8852507322768098	0.7126386871467756	0.5765995438700603	0.0800630739373284
NeuMF	0.6802112928712564	0.6160456073540519	0.5738856784207378	0.8729777263145677	0.6980457273975451	0.5721720782796952	0.0947085345072422
SGL	0.6904803453706562	0.6208630317674718	0.5799416236469959	0.8899617177947672	0.7279178048373681	0.5769035738405908	0.0718954132348764
SLIMElastic	0.6854113741225258	0.6187570846445223	0.5770618355337759	0.8868141299922033	0.7252141521870471	0.5728409445186246	0.0731213907033986
KGAT	0.683898993	0.618774978	0.576925313	0.882128141	0.711594564	0.573814788	0.083161152
KGIN	0.682170556	0.617821068	0.575770741	0.880212323	0.703133849	0.575143516	0.087783419